"","expedition_id","peak_id","peak_name","year","season","basecamp_date","highpoint_date","termination_date","termination_reason","highpoint_metres","members","member_deaths","hired_staff","hired_staff_deaths","trekking_agency","climb_success","death_on_exp","height_metres"
"1810","GLAC81302","GLAC","Glacier Dome",1981,"Autumn",1981-10-12,1981-10-18,NA,"Route technically too difficult, lack of experience, strength, or motivation",5800,16,0,4,0,NA,0,0,7168
"1811","NUMB81302","NUMB","Numbur",1981,"Autumn",1981-10-19,1981-10-23,NA,"Route technically too difficult, lack of experience, strength, or motivation",5700,5,0,3,0,NA,0,0,6958
"1812","EVER81303","EVER","Everest",1981,"Autumn",1981-08-28,1981-10-04,NA,"Bad weather (storms, high winds)",6750,19,0,0,0,NA,0,0,8850
"1813","JANU81301","JANU","Jannu",1981,"Autumn",1981-09-28,1981-10-20,1981-10-26,"Bad weather (storms, high winds)",7400,4,0,3,0,NA,0,0,7711
"1814","GAN281301","GAN2","Ganesh II",1981,"Autumn",1981-09-17,1981-10-16,NA,"Success (main peak)",7118,4,0,3,0,NA,1,0,7118
"1815","AMAD81302","AMAD","Ama Dablam",1981,"Autumn",1981-10-12,1981-10-23,1981-10-28,"Lack (or loss) of supplies or equipment",6000,5,0,0,0,NA,0,0,6814
"1816","DORJ81301","DORJ","Dorje Lhakpa",1981,"Autumn",1981-09-13,1981-10-18,1981-10-21,"Success (main peak)",6966,9,0,0,0,NA,1,0,6966
"1817","KTEG81301","KTEG","Kangtega",1981,"Autumn",1981-10-13,1981-10-16,1981-10-19,"Illness, AMS, exhaustion, or frostbite",5500,4,0,2,0,NA,0,0,6783
"1818","LANR81301","LANR","Langtang Ri",1981,"Autumn",1981-09-20,1981-10-10,1981-10-14,"Success (main peak)",7205,10,0,1,0,NA,1,0,7205
"1819","ANN181301","ANN1","Annapurna I",1981,"Autumn",1981-08-28,1981-10-29,NA,"Success (main peak)",8091,12,1,6,0,NA,1,1,8091
"1820","HIME81301","HIME","Himalchuli East",1981,"Autumn",1981-09-01,1981-10-24,NA,"Bad weather (storms, high winds)",7600,9,0,6,0,NA,0,0,7893
"1821","GANG81301","GANG","Gangapurna",1981,"Autumn",1981-09-13,1981-09-26,1981-10-03,"Accident (death or serious injury)",7000,6,2,3,0,NA,0,1,7455
"1822","MANA81302","MANA","Manaslu",1981,"Autumn",1981-10-01,1981-10-12,NA,"Success (main peak)",8163,4,0,4,0,NA,1,0,8163
"1823","NILS81301","NILS","Nilgiri South",1981,"Autumn",1981-09-12,1981-10-12,NA,"Accident (death or serious injury)",6100,3,0,0,0,NA,0,0,6839
"1824","AMAD81102","AMAD","Ama Dablam",1981,"Spring",1981-04-11,1981-05-15,1981-05-21,"Success (main peak)",6814,9,0,0,0,NA,1,0,6814
"1825","GANG81101","GANG","Gangapurna",1981,"Spring",1981-03-28,1981-04-30,1981-05-03,"Success (main peak)",7455,4,0,0,0,NA,1,0,7455
"1826","YALU81101","YALU","Yalung Kang",1981,"Spring",1981-03-29,1981-05-19,NA,"Lack (or loss) of supplies or equipment",8000,2,0,1,0,NA,0,0,8505
"1827","DHA181102","DHA1","Dhaulagiri I",1981,"Spring",1981-04-08,1981-05-17,1981-05-21,"Success (main peak)",8167,6,0,2,0,NA,1,0,8167
"1828","KANG81102","KANG","Kangchenjunga",1981,"Spring",1981-04-19,1981-05-20,1981-05-25,"Success (main peak)",8586,15,0,1,0,NA,1,0,8586
"1829","JANU81102","JANU","Jannu",1981,"Spring",1981-04-17,1981-05-23,1981-05-27,"Success (main peak)",7711,9,0,1,0,NA,1,0,7711
"1830","ANNM81101","ANNM","Annapurna I Middle",1981,"Spring",1981-03-31,1981-05-23,NA,"Success (main peak)",8051,11,0,0,0,NA,1,0,8051
"1831","LHOT81101","LHOT","Lhotse",1981,"Spring",1981-03-23,1981-04-30,NA,"Success (main peak)",8516,21,0,7,0,NA,1,0,8516
"1832","LHOT81102","LHOT","Lhotse",1981,"Spring",1981-03-16,1981-05-14,1981-05-20,"Bad weather (storms, high winds)",8250,25,0,12,0,NA,0,0,8516
"1833","KAG181301","KAG1","Kagmara I",1981,"Autumn",1981-10-11,1981-10-12,1981-10-13,"Lack of time",5200,8,0,2,0,NA,0,0,5978
"1834","LSIS81301","LSIS","Langshisa Ri",1981,"Autumn",1981-10-02,1981-10-09,1981-10-13,"Route technically too difficult, lack of experience, strength, or motivation",5880,6,0,0,0,NA,0,0,6412
"1835","ANN181101","ANN1","Annapurna I",1981,"Spring",1981-04-06,1981-05-15,1981-05-22,"Bad weather (storms, high winds)",7500,10,0,4,0,NA,0,0,8091
"1836","MAKA81101","MAKA","Makalu",1981,"Spring",1981-03-25,1981-05-14,NA,"Route technically too difficult, lack of experience, strength, or motivation",7800,6,0,0,0,NA,0,0,8485
"1837","GAUR81101","GAUR","Gaurishankar",1981,"Spring",1981-04-07,1981-04-17,1981-04-26,"Bad weather (storms, high winds)",5800,7,0,2,0,NA,0,0,7135
"1838","MAKA81102","MAKA","Makalu",1981,"Spring",1981-04-04,1981-04-25,NA,"Success (main peak)",8485,4,0,3,0,NA,1,0,8485
"1839","MAK281101","MAK2","Makalu II",1981,"Spring",1981-03-25,1981-04-12,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000,6,0,0,0,"Nepal Trekking",0,0,7678
"1840","MANA81101","MANA","Manaslu",1981,"Spring",1981-04-06,1981-05-07,NA,"Success (main peak)",8163,29,0,13,0,NA,1,0,8163
"1841","AMAD81101","AMAD","Ama Dablam",1981,"Spring",1981-03-22,1981-04-28,NA,"Success (main peak)",6814,9,0,4,0,NA,1,0,6814
"1842","JANU81101","JANU","Jannu",1981,"Spring",1981-03-27,1981-05-07,NA,"Success (main peak)",7711,6,0,6,0,NA,1,0,7711
"1843","EVER96201","EVER","Everest",1996,"Summer",1996-07-21,1996-09-25,NA,"Bad weather (storms, high winds)",8300,6,0,4,0,"Asian Trekking",0,0,8850
"1844","CHUW81101","CHUW","Chulu West",1981,"Spring",1981-04-08,1981-04-12,NA,"Success (main peak)",6419,4,0,1,0,NA,1,0,6419
"1845","EVER81101","EVER","Everest",1981,"Spring",1981-03-03,1981-05-15,1981-06-01,"Bad weather (storms, high winds)",8550,28,0,13,0,NA,0,0,8850
"1846","KTEG81101","KTEG","Kangtega",1981,"Spring",NA,NA,NA,"Did not attempt climb",NA,10,0,0,0,NA,0,0,6783
"1847","LSHR81101","LSHR","Lhotse Shar",1981,"Spring",1981-04-06,1981-05-09,NA,"Bad weather (storms, high winds)",7550,4,0,3,0,NA,0,0,8382
"1848","DHA181101","DHA1","Dhaulagiri I",1981,"Spring",1981-03-29,1981-05-22,NA,"Bad weather (storms, high winds)",7600,13,1,10,0,NA,0,1,8167
"1849","DHA181103","DHA1","Dhaulagiri I",1981,"Spring",1981-05-25,1981-06-02,1981-06-06,"Success (main peak)",8167,3,0,1,0,"Nepal Trekking",1,0,8167
"1850","NILS81101","NILS","Nilgiri South",1981,"Spring",1981-04-06,1981-04-11,1981-04-25,"Bad weather (storms, high winds)",5740,6,0,0,0,NA,0,0,6839
"1851","GAN281101","GAN2","Ganesh II",1981,"Spring",1981-03-19,1981-05-05,1981-05-13,"Lack (or loss) of supplies or equipment",6800,10,0,8,0,NA,0,0,7118
"1852","NILN81101","NILN","Nilgiri North",1981,"Spring",1981-04-05,1981-05-07,1981-05-13,"Success (main peak)",7061,10,0,2,0,NA,1,0,7061
"1853","HIME81101","HIME","Himalchuli East",1981,"Spring",1981-03-27,1981-05-04,NA,"Route technically too difficult, lack of experience, strength, or motivation",6900,11,0,3,0,NA,0,0,7893
"1854","LANG81101","LANG","Langtang Lirung",1981,"Spring",1981-03-25,1981-04-26,NA,"Success (main peak)",7227,9,0,3,0,NA,1,0,7227
"1855","KGUR81101","KGUR","Kang Guru",1981,"Spring",1981-03-22,1981-04-27,NA,"Success (main peak)",6981,8,0,3,0,NA,1,0,6981
"1856","BARU81101","BARU","Baruntse",1981,"Spring",1981-03-22,1981-04-24,NA,"Success (main peak)",7152,7,0,5,0,NA,1,0,7152
"1857","EVER81102","EVER","Everest",1981,"Spring",1981-03-25,1981-05-20,1981-05-24,"Illness, AMS, exhaustion, or frostbite",8750,20,0,23,0,NA,0,0,8850
"1858","EVER96306","EVER","Everest",1996,"Autumn",1996-08-30,1996-10-03,1996-10-12,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7900,9,1,4,0,"Thamserku Trekking/Khumbi-ila Mt. & Trekking",0,1,8850
"1859","GAN481101","GAN4","Ganesh IV",1981,"Spring",1981-04-08,1981-04-15,1981-04-28,"Accident (death or serious injury)",5800,10,1,2,0,NA,0,1,7104
"1860","CHOY81101","CHOY","Cho Oyu",1981,"Spring",1981-04-11,1981-05-21,NA,"Bad weather (storms, high winds)",7120,42,0,0,0,NA,0,0,8188
"1861","KANG81101","KANG","Kangchenjunga",1981,"Spring",1981-03-16,1981-05-09,NA,"Success (main peak)",8586,22,0,15,0,NA,1,0,8586
"1862","EVER80402","EVER","Everest",1980,"Winter",1980-12-06,1981-01-17,1981-01-30,"Bad weather (storms, high winds)",7300,11,0,0,0,NA,0,0,8850
